assignmentid	workerid	Answer.task	Answer.myanswersA	Answer.myanswersC
3HUTX6F6VUNT496CPH9QOSC5JUM2OD	A2MM4UAQSKQNIE	"n02818832::bed,n03817191::negative,n04212282::shuttlecock,n04355115::sunday best,n03163973::data input device,n03613592::key,n04351550::suite,n04255899::sod house,n03373237::fly,n03878066::palace"	::1::0::1::0::1::0::0::0::1::0	::1::0::1::0::1::0::1::1::1::1
3GNA64GUZE4OOI2FMD3SB4AHI5XQ5C	A347XXV5JH19PB	"n03163973::data input device,n04212282::shuttlecock,n03613592::key,n04255899::sod house,n02818832::bed,n03373237::fly,n03878066::palace,n04351550::suite,n03817191::negative,n04355115::sunday best"	::1::1::1::0::1::1::0::0::0::0	::1::1::1::1::1::1::1::1::1::1
3S96KQ6I9M4WKB90INF6EL9WFTMDTD	A757KD6CSFAKF	"n02767433::back,n04610676::yard,n04447156::toilet kit,n08640531::resort,n03880323::pan,n02872752::boot,n03792526::mount,n03652932::leash,n02676566::acoustic guitar,n04127117::safety net"	::1::0::1::0::1::1::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3ATTHHXXWAOK93Y6FBHEULAFKUIXII	AWY5WM7BEBZD8	"n04127117::safety net,n03652932::leash,n02676566::acoustic guitar,n03880323::pan,n04447156::toilet kit,n03792526::mount,n02872752::boot,n08640531::resort,n02767433::back,n04610676::yard"	::1::1::1::1::1::1::1::0::0::0	::1::1::1::1::1::1::1::1::0::1
3YT88D1N08YZZ0HGVPV20L0O53A3K3	A2C57JVPIOH7F2	"n04127117::safety net,n03792526::mount,n08640531::resort,n03880323::pan,n02767433::back,n04610676::yard,n04447156::toilet kit,n02872752::boot,n03652932::leash,n02676566::acoustic guitar"	::1::0::0::1::1::0::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3NAPMVF0ZWFMJ3ED8VSOD6QAT5E27P	A347XXV5JH19PB	"n04447156::toilet kit,n04610676::yard,n04127117::safety net,n08640531::resort,n02872752::boot,n03792526::mount,n02676566::acoustic guitar,n03652932::leash,n03880323::pan,n02767433::back"	::1::0::1::0::1::0::1::1::1::0	::1::1::1::1::0::0::1::1::1::0
3YGXWBAF70H2YYOW3QJNM7FMEU34CI	A2MQ6VUSKCQ9FH	"n04610676::yard,n03880323::pan,n04447156::toilet kit,n02767433::back,n03792526::mount,n08640531::resort,n02676566::acoustic guitar,n03652932::leash,n02872752::boot,n04127117::safety net"	::0::1::1::0::0::0::1::1::1::1	::1::1::1::0::1::1::1::1::1::1
3QRYMNZ7FYH56N0D7HT9AQLQTXQNT7	AQORJW4W8U9YU	"n04000592::press box,n02766320::baby bed,n03594734::jean,n04319545::stillroom,n03393017::free house,n02777927::balcony,n04146050::school,n03167978::deck,n04110068::rose water,n04065464::recreation room"	::0::1::1::0::0::0::0::0::1::0	::1::1::0::1::1::1::1::1::1::1
33C7UALJVLYJUW10ZWKGMNC0CJ381Y	AWY5WM7BEBZD8	"n04146050::school,n02777927::balcony,n04000592::press box,n04065464::recreation room,n03167978::deck,n04110068::rose water,n04319545::stillroom,n03393017::free house,n02766320::baby bed,n03594734::jean"	::0::0::0::0::0::1::0::0::1::1	::1::1::0::1::1::1::0::1::1::1
36WLNQG78ZA1GVTJEWZ5K9LV9YWBEN	A2UHEMRALXKUCF	"n02777927::balcony,n04065464::recreation room,n04000592::press box,n03594734::jean,n04319545::stillroom,n04110068::rose water,n03393017::free house,n03167978::deck,n04146050::school,n02766320::baby bed"	::0::0::0::1::0::1::0::0::0::1	::1::1::1::1::1::0::0::1::1::1
3IKZ72A5B4GVNIICCXOKTM6P2OPFNY	A2OXXHGAM7B0Y	"n04110068::rose water,n03594734::jean,n03393017::free house,n04065464::recreation room,n04146050::school,n02766320::baby bed,n04000592::press box,n04319545::stillroom,n02777927::balcony,n03167978::deck"	::1::1::0::0::0::1::0::0::0::0	::1::0::1::1::1::1::1::1::1::1
3IGI0VL647KPTVV5B07AGGF3UPHNOT	A347XXV5JH19PB	"n04146050::school,n02777927::balcony,n04319545::stillroom,n04110068::rose water,n02766320::baby bed,n03393017::free house,n03594734::jean,n03167978::deck,n04065464::recreation room,n04000592::press box"	::0::0::0::1::1::0::1::0::0::0	::1::1::1::1::1::1::1::1::1::1
3Z4AIRP3C6D99X2874W82MTT3S3X1M	A36LOA6VLJU157	"n03493792::hardware,n03192907::die,n03788498::motel,n02726681::apartment building,n04244997::small boat,n04085017::reverse,n02777927::balcony,n02760658::automatic pistol,n04005630::prison,n04141975::scale"	::1::1::0::0::0::0::0::0::0::1	::0::1::1::1::1::0::1::1::1::1
3ON104KXQKWBCWU1KHJOY1MP6AJ4WP	A2SPF0XH4LNRK1	"n02777927::balcony,n03192907::die,n02760658::automatic pistol,n03788498::motel,n04085017::reverse,n03493792::hardware,n04244997::small boat,n02726681::apartment building,n04141975::scale,n04005630::prison"	::0::1::0::0::1::1::1::0::1::0	::1::1::1::1::1::0::1::1::1::0
3GDTJDAPVUBGQLNPSI3E6F03AU28MA	A2UHEMRALXKUCF	"n04244997::small boat,n02777927::balcony,n04141975::scale,n03788498::motel,n04085017::reverse,n04005630::prison,n02726681::apartment building,n03493792::hardware,n02760658::automatic pistol,n03192907::die"	::0::0::1::0::1::0::0::1::0::1	::1::1::1::1::1::1::1::0::1::1
37FMASSAYCRDW0V5AFPW5OJN1R4BIX	A2OXXHGAM7B0Y	"n02760658::automatic pistol,n04085017::reverse,n03493792::hardware,n03192907::die,n04005630::prison,n04141975::scale,n02777927::balcony,n02726681::apartment building,n03788498::motel,n04244997::small boat"	::0::1::1::1::0::1::0::0::0::1	::1::1::0::1::1::1::1::1::1::1
3IAEQB9FMEKOCSDUDSKH15GVJNDWDV	A347XXV5JH19PB	"n03192907::die,n04005630::prison,n04085017::reverse,n02726681::apartment building,n02777927::balcony,n04244997::small boat,n03493792::hardware,n02760658::automatic pistol,n04141975::scale,n03788498::motel"	::0::0::1::0::0::0::1::0::1::0	::0::1::1::1::1::1::0::1::1::1
3X4MXAO0BGOID2WZVTF16UXZYOURWM	A1SHLCA57M79E6	"n04182152::shadow box,n04437276::time clock,n02934451::cable car,n03052464::clothing store,n02958343::car,n03291819::envelope,n03391770::framework,n04099429::rocket,n03513376::helmet,n03931885::picture hat"	::1::1::0::0::1::1::0::0::1::0	::1::1::1::1::1::1::0::1::1::1
3LOTDFNYA7ZLACRQ4YF7P5JGV0KFWG	A27O2IILV3S5YS	"n04182152::shadow box,n02934451::cable car,n02958343::car,n03052464::clothing store,n03931885::picture hat,n04437276::time clock,n03391770::framework,n03513376::helmet,n04099429::rocket,n03291819::envelope"	::1::0::0::0::1::1::0::1::0::1	::1::1::1::1::1::1::0::1::1::1
37UEWGM5HT8PC1GWY5QGD4752BN1RZ	A7NNR8ZAMCKLU	"n03931885::picture hat,n03052464::clothing store,n04099429::rocket,n03513376::helmet,n04182152::shadow box,n02958343::car,n04437276::time clock,n03391770::framework,n02934451::cable car,n03291819::envelope"	::1::0::0::1::1::0::1::0::0::1	::1::1::1::1::1::1::1::1::1::1
3TESA3PJ31AVBAPTMJDXBX1YUZIMM3	A2AJWXDQP805QJ	"n03931885::picture hat,n04437276::time clock,n03513376::helmet,n02934451::cable car,n03052464::clothing store,n03391770::framework,n02958343::car,n04099429::rocket,n03291819::envelope,n04182152::shadow box"	::1::1::1::0::0::0::0::0::1::1	::1::1::1::1::1::1::1::1::1::1
384PI804XS116RVRHBMLP9TRJL00SJ	AQORJW4W8U9YU	"n03513376::helmet,n04099429::rocket,n04437276::time clock,n02934451::cable car,n02958343::car,n03291819::envelope,n04182152::shadow box,n03931885::picture hat,n03052464::clothing store,n03391770::framework"	::1::0::1::0::0::1::0::0::0::0	::1::1::1::1::1::1::1::1::1::1
36ZN444YTRYXFUKEEKUIB8JM8QCOI3	AWY5WM7BEBZD8	"n04587648::window,n02991048::cell,n04152593::screen,n02984061::cathedral,n04546855::wall,n04138869::saturday night special,n02670683::accelerator,n03303831::exhibition hall,n02819697::bed,n03506370::health spa"	::0::1::1::0::0::0::0::0::1::0	::1::1::1::1::1::0::1::1::1::1
3U5JL4WY5K9Q1WZRUMFA0K0WFCMX48	A3HTLXAPOBCVVO	"n04546855::wall,n02819697::bed,n03303831::exhibition hall,n03506370::health spa,n02991048::cell,n04152593::screen,n04138869::saturday night special,n02670683::accelerator,n04587648::window,n02984061::cathedral"	::0::1::0::0::1::1::0::0::0::0	::1::1::1::1::1::1::0::1::1::1
3X73LLYYQ1EF1E9I7NCKW7I2I3YHNU	A347XXV5JH19PB	"n02984061::cathedral,n04587648::window,n02819697::bed,n04152593::screen,n03506370::health spa,n04546855::wall,n02991048::cell,n04138869::saturday night special,n03303831::exhibition hall,n02670683::accelerator"	::0::0::1::1::0::0::1::1::0::1	::1::1::1::1::1::1::1::1::1::1
3OCHAWUVGOKBFYOUFE2Q71PSCYHXK3	A2OXXHGAM7B0Y	"n04152593::screen,n04546855::wall,n04587648::window,n04138869::saturday night special,n02819697::bed,n02991048::cell,n03506370::health spa,n03303831::exhibition hall,n02670683::accelerator,n02984061::cathedral"	::1::0::1::0::1::1::0::0::1::0	::1::1::1::1::1::1::1::1::1::1
35USIKEBNRGZ4PP1B4LGZGTC9PNN64	A2SPF0XH4LNRK1	"n02819697::bed,n04546855::wall,n03506370::health spa,n04152593::screen,n02670683::accelerator,n02991048::cell,n02984061::cathedral,n04587648::window,n04138869::saturday night special,n03303831::exhibition hall"	::1::0::0::1::1::1::0::1::0::0	::1::1::1::1::1::1::1::1::1::1
3IXQG4FA2TYKLZ226LJJSVKKI1G9BB	A347XXV5JH19PB	"n03340009::filter,n04247440::smoking room,n03678729::little theater,n03871371::package store,n03623556::knife,n04502851::twenty-two,n03548626::hull,n03272010::electric guitar,n03504723::headquarters,n03964495::playpen"	::1::0::0::0::1::0::0::1::0::1	::1::1::1::1::1::1::1::1::0::1
3UXUOQ9OKEXBO69HLAL3JO985T87A3	A2SPF0XH4LNRK1	"n03964495::playpen,n03678729::little theater,n03548626::hull,n04502851::twenty-two,n03272010::electric guitar,n04247440::smoking room,n03504723::headquarters,n03871371::package store,n03623556::knife,n03340009::filter"	::1::0::0::0::1::0::0::0::1::1	::1::1::1::1::1::1::1::1::1::1
320DUZ38G7M5ISNM8J2AI0PKUJMJGZ	A2OXXHGAM7B0Y	"n04502851::twenty-two,n03272010::electric guitar,n04247440::smoking room,n03548626::hull,n03623556::knife,n03678729::little theater,n03340009::filter,n03964495::playpen,n03871371::package store,n03504723::headquarters"	::0::1::0::0::1::0::1::1::0::0	::1::1::1::1::1::1::1::1::1::1
3EJJQNKU9R50GC1A0UT15RNCJ0TRHY	A2I159VITLD19Y	"n03272010::electric guitar,n03623556::knife,n03678729::little theater,n04502851::twenty-two,n03504723::headquarters,n03964495::playpen,n03548626::hull,n03340009::filter,n04247440::smoking room,n03871371::package store"	::1::1::0::0::0::1::0::1::0::0	::1::1::1::1::1::1::1::1::1::1
3QECW5O0KH11GYU73HXNG9L42CZT5W	A2C57JVPIOH7F2	"n03623556::knife,n03678729::little theater,n04247440::smoking room,n04502851::twenty-two,n03504723::headquarters,n03340009::filter,n03548626::hull,n03272010::electric guitar,n03964495::playpen,n03871371::package store"	::1::0::0::0::0::1::0::1::1::0	::1::1::1::1::1::1::1::1::1::1
3MHW492WW0DE1XJ20BEOYTKBLSQMVG	A22L4CUSXSK47B	"n03512147::helicopter,n03239726::drill,n03793489::mouse,n03877845::palace,n04146050::school,n02817031::bearing,n03688405::long sleeve,n03584400::video ipod,n02821627::bedroom,n03287733::engine"	::0::1::1::0::0::1::1::1::0::0	::1::1::1::1::1::0::1::1::1::1
33LK57MYLT5Y8C1HL5ZDV8WD1SHZS8	A1SHLCA57M79E6	"n04146050::school,n03512147::helicopter,n03877845::palace,n03584400::video ipod,n03287733::engine,n03793489::mouse,n02817031::bearing,n03239726::drill,n03688405::long sleeve,n02821627::bedroom"	::0::0::0::1::0::1::1::1::1::0	::0::1::1::1::1::1::1::1::0::1
3EO896NRAWV9NX9SSJ1HHJ49KDJJTX	A10805127APU0J	"n03239726::drill,n03793489::mouse,n03688405::long sleeve,n03512147::helicopter,n02817031::bearing,n03584400::video ipod,n04146050::school,n02821627::bedroom,n03877845::palace,n03287733::engine"	::1::1::1::0::1::1::0::0::0::1	::1::0::1::1::1::1::1::1::1::1
3XUHV3NRVKYBBP3C3NGY2QIGRIWH52	A2C57JVPIOH7F2	"n02817031::bearing,n03877845::palace,n04146050::school,n02821627::bedroom,n03287733::engine,n03512147::helicopter,n03688405::long sleeve,n03584400::video ipod,n03793489::mouse,n03239726::drill"	::1::0::0::0::1::0::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3D4CH1LGEATGCGADM7BXT6BHYE89GS	A2LKQQ3GNDQ017	"n03877845::palace,n03239726::drill,n03584400::video ipod,n03688405::long sleeve,n02817031::bearing,n02821627::bedroom,n03793489::mouse,n03287733::engine,n03512147::helicopter,n04146050::school"	::0::1::1::1::1::0::1::0::0::0	::1::1::1::0::1::1::1::1::1::0
3C5W7UE9CFQ65MOX0QF6MEHW13YMXJ	A1G187YBG0DVMQ	"n02735688::area,n03411927::gallery,n04152593::screen,n03781787::monitor,n02694662::alarm clock,n02871147::bookmark,n04152387::screen,n04162433::seat,n03929660::pick,n04404997::television camera"	::0::0::1::1::1::1::0::1::1::0	::0::1::1::1::1::1::1::1::1::1
3SNLUL3WO4NUI0CHV9342U337GVLUS	A27QCN3GYCZTPE	"n03929660::pick,n04152387::screen,n02694662::alarm clock,n02735688::area,n02871147::bookmark,n04162433::seat,n04152593::screen,n03781787::monitor,n03411927::gallery,n04404997::television camera"	::1::1::1::0::1::1::1::1::0::1	::1::1::1::0::1::1::1::1::0::1
3PXX5PX6LXYYQIC7YRXJOQV4OJWABP	AWY5WM7BEBZD8	"n02871147::bookmark,n04152387::screen,n04404997::television camera,n03929660::pick,n03411927::gallery,n04162433::seat,n03781787::monitor,n04152593::screen,n02735688::area,n02694662::alarm clock"	::1::1::1::1::0::1::1::1::0::1	::1::1::1::1::0::1::1::1::0::1
32VNZTT0A74640DFLN9IB2E8EV54RN	A2SPF0XH4LNRK1	"n04152387::screen,n03411927::gallery,n04404997::television camera,n03781787::monitor,n02694662::alarm clock,n02871147::bookmark,n04162433::seat,n03929660::pick,n04152593::screen,n02735688::area"	::1::0::1::1::1::1::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
32EYX73OY095LY7U0T00O6C2D8URUY	A2OXXHGAM7B0Y	"n04162433::seat,n02735688::area,n02871147::bookmark,n03781787::monitor,n02694662::alarm clock,n04152387::screen,n03411927::gallery,n04152593::screen,n03929660::pick,n04404997::television camera"	::1::0::1::1::1::1::0::1::1::1	::1::1::1::1::1::1::1::1::1::1
3P59JYT76LK9H1BKLYVPI2ISI252T1	AWY5WM7BEBZD8	"n03277771::electronic device,n03029197::church tower,n03701391::machine gun,n03098806::control system,n03378593::footage,n03052464::clothing store,n03990474::pot,n02839910::bin,n04402057::telephone line,n04228054::ski"	::1::0::0::0::0::0::1::1::0::1	::1::1::1::0::0::1::1::1::0::1
32Q90QCQ1SL29YXDK9CYJC4LWS4KEF	A2OXXHGAM7B0Y	"n02839910::bin,n04402057::telephone line,n03052464::clothing store,n03098806::control system,n03701391::machine gun,n03277771::electronic device,n04228054::ski,n03029197::church tower,n03378593::footage,n03990474::pot"	::1::0::0::0::0::1::1::0::0::1	::1::1::1::1::1::1::1::1::0::1
3FTYUGLFSULUZ9YAHRX8B53IZQA5DO	A2UHEMRALXKUCF	"n04402057::telephone line,n03990474::pot,n03029197::church tower,n03701391::machine gun,n03378593::footage,n02839910::bin,n03098806::control system,n03052464::clothing store,n03277771::electronic device,n04228054::ski"	::1::1::0::0::0::1::0::0::1::1	::1::1::1::1::0::1::1::1::1::1
39OWYR0EPKRPZHMQJZXVA24W68TYF7	A2SPF0XH4LNRK1	"n03052464::clothing store,n03029197::church tower,n03098806::control system,n04402057::telephone line,n03990474::pot,n02839910::bin,n04228054::ski,n03378593::footage,n03277771::electronic device,n03701391::machine gun"	::0::0::1::0::1::1::1::1::1::0	::1::1::1::1::1::1::1::0::1::1
3VD82FOHKQO62RYEMAYW05LRVL3CO0	A347XXV5JH19PB	"n03098806::control system,n03029197::church tower,n04402057::telephone line,n02839910::bin,n04228054::ski,n03052464::clothing store,n03990474::pot,n03277771::electronic device,n03701391::machine gun,n03378593::footage"	::0::0::0::1::1::0::1::1::0::0	::0::1::1::1::1::1::1::1::1::0
3CP1TO84PT17WZ0UK2DRFMCE2ZB525	A36LOA6VLJU157	"n06592281::rock opera,n02810782::battery,n04238321::slide fastener,n02840619::binding,n02710044::andiron,n04105068::roof,n02931148::cab,n04565375::weapon,n03762982::military hospital,n04549919::ward"	::0::1::1::1::1::0::0::0::0::0	::1::1::1::0::0::1::1::1::1::1
3V5Q80FXIXR4IKDQ6JPY0PEUO3L23D	AWY5WM7BEBZD8	"n04549919::ward,n03762982::military hospital,n04565375::weapon,n02810782::battery,n04105068::roof,n02840619::binding,n02710044::andiron,n06592281::rock opera,n04238321::slide fastener,n02931148::cab"	::0::0::0::1::0::1::0::0::1::0	::0::0::0::1::1::1::1::0::1::1
3IAS3U3I0FG9LFH3LC44I8C6CV62BC	A2OXXHGAM7B0Y	"n04565375::weapon,n04549919::ward,n02931148::cab,n03762982::military hospital,n02840619::binding,n02710044::andiron,n02810782::battery,n04105068::roof,n06592281::rock opera,n04238321::slide fastener"	::0::0::0::0::0::1::1::0::0::1	::1::1::1::1::1::1::1::1::1::1
3KGTPGBS6XLOHEQ9L3LZNY4U1GE2UU	A2LKQQ3GNDQ017	"n06592281::rock opera,n04549919::ward,n02810782::battery,n02710044::andiron,n03762982::military hospital,n02840619::binding,n04238321::slide fastener,n04565375::weapon,n04105068::roof,n02931148::cab"	::0::0::1::1::0::0::1::1::0::0	::0::0::1::1::1::0::0::0::0::1
3IXEICO792JXZ2UL807S8FZ4Y78T6A	A2BA9Y6VGW6WS1	"n03762982::military hospital,n04565375::weapon,n04105068::roof,n02840619::binding,n02710044::andiron,n04238321::slide fastener,n04549919::ward,n06592281::rock opera,n02810782::battery,n02931148::cab"	::0::1::0::1::0::1::0::0::1::0	::1::1::0::1::0::1::1::1::1::1
3YDTZAI2WXGIBVEYNTU35BWVAX114E	A2ZTO4JZOB0QFL	"n03503567::head gate,n02692232::airport,n03244047::driver,n04598582::woodwind,n03441112::glove,n03078287::communication system,n02975212::case,n03077616::common room,n03297735::establishment,n02788021::banner"	::0::0::1::1::1::1::1::0::0::1	::1::1::1::0::1::1::1::1::1::1
3SLE99ER0NDZRQKFAJDI5JMDX4YBZM	AQORJW4W8U9YU	"n03077616::common room,n02975212::case,n02788021::banner,n03441112::glove,n04598582::woodwind,n02692232::airport,n03244047::driver,n03078287::communication system,n03297735::establishment,n03503567::head gate"	::0::1::1::1::0::0::1::1::0::0	::1::1::1::0::1::1::1::1::1::1
3ZAZR5XV01II1VCLOJ9DG3SVFP4CZ0	A347XXV5JH19PB	"n02975212::case,n02788021::banner,n02692232::airport,n03503567::head gate,n04598582::woodwind,n03297735::establishment,n03441112::glove,n03077616::common room,n03078287::communication system,n03244047::driver"	::1::1::0::0::1::0::1::0::0::1	::1::1::1::1::1::1::1::1::0::1
30BUDKLTXDVZRFCADM8SHNL3Z2AE5P	AWY5WM7BEBZD8	"n02975212::case,n03441112::glove,n03297735::establishment,n02692232::airport,n03078287::communication system,n02788021::banner,n03244047::driver,n03077616::common room,n04598582::woodwind,n03503567::head gate"	::1::1::0::0::0::1::1::0::0::0	::1::1::0::1::0::1::1::1::0::1
3E7TUJ2EGCMD0W0MKHAPNL8KLMT9DJ	A2OXXHGAM7B0Y	"n03244047::driver,n03503567::head gate,n02692232::airport,n04598582::woodwind,n03297735::establishment,n03077616::common room,n03441112::glove,n02975212::case,n02788021::banner,n03078287::communication system"	::1::0::0::1::0::0::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
37W3JXSD668RA38L9O7VEQQW1B6WYQ	A1G187YBG0DVMQ	"n02796995::barroom,n04298765::stake,n04447156::toilet kit,n03931765::picture frame,n03092883::console table,n03766044::miller,n02746978::art school,n04392764::tape drive,n04604276::world wide web,n04238128::slide"	::0::1::1::1::1::0::0::1::0::1	::0::1::0::1::1::0::0::0::0::1
3DIP6YHAPCSIEXVCBKFVT7VU1S18EB	A2OXXHGAM7B0Y	"n04298765::stake,n02746978::art school,n04238128::slide,n04604276::world wide web,n03092883::console table,n04392764::tape drive,n03931765::picture frame,n03766044::miller,n04447156::toilet kit,n02796995::barroom"	::1::0::1::0::1::1::1::0::1::0	::1::1::1::1::1::1::1::1::1::0
3XXU1SWE8MVX6V9X0B0U49ZLXFSA0W	A10805127APU0J	"n03931765::picture frame,n04447156::toilet kit,n02746978::art school,n02796995::barroom,n03766044::miller,n04604276::world wide web,n03092883::console table,n04298765::stake,n04392764::tape drive,n04238128::slide"	::1::1::0::0::0::0::1::1::1::1	::1::0::1::0::0::1::1::1::1::1
3X66WABAJWIUXELX5YAN2T8VYMPG39	AQORJW4W8U9YU	"n03766044::miller,n04447156::toilet kit,n04392764::tape drive,n03092883::console table,n03931765::picture frame,n04298765::stake,n02746978::art school,n04238128::slide,n02796995::barroom,n04604276::world wide web"	::0::1::1::0::1::1::0::0::0::0	::1::1::1::1::1::1::1::1::1::1
3TVRFO09GKFMZ46C0EERM1271YBXLV	A2ZTO4JZOB0QFL	"n02796995::barroom,n04604276::world wide web,n04238128::slide,n02746978::art school,n03931765::picture frame,n04392764::tape drive,n03092883::console table,n04447156::toilet kit,n04298765::stake,n03766044::miller"	::0::0::1::0::1::1::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
3DBQWDE4Y6Y3LLPN6LBB7AFCDU25NW	A2AJWXDQP805QJ	"n02947212::canal,n03958227::plastic bag,n02757462::audio system,n04563204::waterwheel,n02977438::cash register,n04447156::toilet kit,n03246653::drop forge,n03120198::court,n03339529::film advance,n06275353::wireless"	::0::0::1::0::1::1::0::0::0::0	::1::1::1::1::1::1::1::1::1::0
320DUZ38G7M5ISNM8J2AI0PKUJGGJQ	A347XXV5JH19PB	"n06275353::wireless,n02977438::cash register,n02757462::audio system,n03339529::film advance,n04447156::toilet kit,n04563204::waterwheel,n03120198::court,n03958227::plastic bag,n02947212::canal,n03246653::drop forge"	::1::1::1::1::1::0::0::1::0::0	::0::1::1::1::1::1::1::1::1::1
3VHHR074H3HSKP0LI1ATS2PJZ55L7X	A2UHEMRALXKUCF	"n02757462::audio system,n03246653::drop forge,n03339529::film advance,n04447156::toilet kit,n02977438::cash register,n02947212::canal,n06275353::wireless,n03958227::plastic bag,n04563204::waterwheel,n03120198::court"	::1::0::1::1::1::0::1::1::0::0	::1::1::1::1::1::1::1::1::1::1
3ZDAD0O1T1DAIHEH9NGI8SCOVB8XT9	A2OXXHGAM7B0Y	"n02977438::cash register,n03339529::film advance,n02947212::canal,n04563204::waterwheel,n03246653::drop forge,n02757462::audio system,n04447156::toilet kit,n06275353::wireless,n03120198::court,n03958227::plastic bag"	::1::1::0::0::0::1::1::1::0::1	::1::1::1::1::1::1::1::1::1::1
3OCHAWUVGOKBFYOUFE2Q71PSCYHKXQ	A2MQ6VUSKCQ9FH	"n04447156::toilet kit,n03120198::court,n02977438::cash register,n03958227::plastic bag,n04563204::waterwheel,n03246653::drop forge,n06275353::wireless,n02947212::canal,n03339529::film advance,n02757462::audio system"	::1::0::1::1::0::0::0::0::0::1	::1::1::1::1::1::1::0::1::0::1
3PIWWX1FJJ6F9UDNGPNDFDH0MBSJJS	AWY5WM7BEBZD8	"n04085017::reverse,n04306080::station,n03164344::data system,n03072201::color television,n02977619::casing,n04060647::receiver,n03273740::electric range,n03710193::mailbox,n04264628::space bar,n02988304::cd player"	::0::0::0::1::0::1::1::1::1::1	::0::1::0::1::1::1::1::1::1::1
3MMN5BL1WZ4UPOHJG18IFYSSU8B3ME	A2OXXHGAM7B0Y	"n03072201::color television,n04306080::station,n04264628::space bar,n03164344::data system,n03710193::mailbox,n03273740::electric range,n02977619::casing,n04060647::receiver,n04085017::reverse,n02988304::cd player"	::1::0::0::1::1::1::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3KIBXJ1WD5UOLPA2ENFUOOYZ0UCKOL	A347XXV5JH19PB	"n03710193::mailbox,n04306080::station,n03072201::color television,n02977619::casing,n04264628::space bar,n02988304::cd player,n03273740::electric range,n03164344::data system,n04085017::reverse,n04060647::receiver"	::1::0::1::0::0::1::1::0::1::1	::1::1::1::1::1::1::1::1::1::1
3B2X28YI3WFX3G048EG78LTIS0AB64	A2SPF0XH4LNRK1	"n04306080::station,n02988304::cd player,n04085017::reverse,n04060647::receiver,n03072201::color television,n03164344::data system,n03710193::mailbox,n02977619::casing,n03273740::electric range,n04264628::space bar"	::0::1::1::1::1::1::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3IUZPWIU1O7WQYJ459645IBL3WCKWY	A2C57JVPIOH7F2	"n02977619::casing,n04060647::receiver,n04264628::space bar,n03273740::electric range,n03710193::mailbox,n02988304::cd player,n03072201::color television,n04306080::station,n03164344::data system,n04085017::reverse"	::0::1::1::1::1::1::1::0::0::1	::1::1::1::1::1::1::1::1::1::1
3Z2R0DQ0JHE7SITNV36UJGIRFS72E0	A22L4CUSXSK47B	"n04373894::sword,n04562262::water ski,n04152593::screen,n02936714::cage,n04285008::sports car,n03189083::diaphragm,n03038685::classroom,n03525454::holder,n04334599::street,n04435180::tile"	::1::1::0::1::0::1::0::1::0::1	::1::1::1::1::1::1::1::1::1::0
3TVRFO09GKFMZ46C0EERM1271Y9LXH	A36LOA6VLJU157	"n03525454::holder,n04373894::sword,n04435180::tile,n02936714::cage,n03189083::diaphragm,n04562262::water ski,n04152593::screen,n04334599::street,n03038685::classroom,n04285008::sports car"	::1::1::1::1::1::0::1::0::0::0	::1::1::0::1::0::0::1::1::1::1
39LNWE0K4UWSSZ4BA66RAEBBQC1UIN	A1G187YBG0DVMQ	"n04152593::screen,n04373894::sword,n04285008::sports car,n03189083::diaphragm,n04435180::tile,n03038685::classroom,n04334599::street,n03525454::holder,n02936714::cage,n04562262::water ski"	::1::0::0::0::0::0::0::0::0::0	::1::1::1::0::1::1::1::0::1::1
3X31TUMD7XME93LJTLTKRSY6WJ1L1W	AWY5WM7BEBZD8	"n04334599::street,n04373894::sword,n04435180::tile,n04285008::sports car,n02936714::cage,n04152593::screen,n03525454::holder,n03189083::diaphragm,n03038685::classroom,n04562262::water ski"	::0::1::1::0::1::1::1::1::0::1	::1::1::0::1::1::1::1::1::0::1
3907X2AHF05BP9ID4HM5DSHVTZIP2H	A2C57JVPIOH7F2	"n04152593::screen,n04562262::water ski,n04285008::sports car,n03525454::holder,n03038685::classroom,n04334599::street,n04373894::sword,n04435180::tile,n02936714::cage,n03189083::diaphragm"	::1::0::0::1::0::0::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3B4YI393V9W170F3QD55ZFZAEDFSSU	A36LOA6VLJU157	"n02964634::cargo area,n03416640::garage,n04407686::temple,n03714235::makeup,n04119478::rumpus room,n03887512::paper mill,n04256520::sofa,n04403638::telescope,n03819595::net,n04070727::refrigerator"	::0::0::0::1::0::0::1::1::1::1	::1::1::1::0::1::1::1::1::1::1
3TAYZSBPLL8821Y5WYQZ8XM6GJFS2Q	A1G187YBG0DVMQ	"n04119478::rumpus room,n04407686::temple,n04403638::telescope,n03819595::net,n04070727::refrigerator,n03714235::makeup,n02964634::cargo area,n03887512::paper mill,n03416640::garage,n04256520::sofa"	::0::0::1::1::1::1::0::0::0::1	::1::0::1::0::1::0::1::1::1::1
